	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Potri.008G226200.1__Potri.010G013500.1	0.84864	0.9192299999999999	2874.0	2439.0	0.08813	GF_000568	0.031	0.1733	14.0	0.1791	Potri.010G013500.1	Potri.008G226200.1	0.25	0.25
Potri.008G221400.1__Potri.010G013500.1	0.84969	0.92015	2874.0	2442.0	0.08875	GF_000568	0.0326	0.1711	14.0	0.1907	Potri.010G013500.1	Potri.008G221400.1	0.25	0.25
Potri.005G015400.1__Potri.005G019000.1	0.99482	1.0	579.0	576.0	0.0	GF_000595	0.0	0.0	9.0	0.0938	Potri.005G019000.1	Potri.005G015400.1	1.0	0.0
Potri.005G015400.1__Potri.005G019000.1	0.99482	1.0	579.0	576.0	0.0	GF_000595	0.0	0.0	9.0	0.0938	Potri.005G019000.1	Potri.005G015400.1	1.0	0.0
Potri.008G107800.1__Potri.013G009900.1	0.99482	0.80382	579.0	576.0	0.08642000000000001	GF_000595	0.054000000000000006	3.7303	14.0	0.0145	Potri.013G009900.1	Potri.008G107800.1	0.2	0.2
Potri.008G107800.1__Potri.013G009900.1	0.99482	0.80382	579.0	576.0	0.08642000000000001	GF_000595	0.054000000000000006	3.7303	14.0	0.0145	Potri.013G009900.1	Potri.008G107800.1	0.2	0.2
Potri.008G107800.1__Potri.013G009900.1	0.99482	0.80382	579.0	576.0	0.08642000000000001	GF_000595	0.054000000000000006	3.7303	14.0	0.0145	Potri.013G009900.1	Potri.008G107800.1	0.2	0.2
Potri.008G107800.1__Potri.013G009900.1	0.99482	0.80382	579.0	576.0	0.08642000000000001	GF_000595	0.054000000000000006	3.7303	14.0	0.0145	Potri.013G009900.1	Potri.008G107800.1	0.2	0.2
Potri.005G019000.1__Potri.013G009900.1	0.99482	0.9166700000000001	579.0	576.0	0.07435	GF_000595	0.0221	0.2044	15.0	0.10800000000000001	Potri.005G019000.1	Potri.013G009900.1	0.08333	0.08333
Potri.005G019000.1__Potri.013G009900.1	0.99482	0.9166700000000001	579.0	576.0	0.07435	GF_000595	0.0221	0.2044	15.0	0.10800000000000001	Potri.005G019000.1	Potri.013G009900.1	0.08333	0.08333
Potri.005G019000.1__Potri.008G107800.1	0.99482	0.80208	579.0	576.0	0.13037	GF_000595	0.0541	3.3466	15.0	0.0162	Potri.005G019000.1	Potri.008G107800.1	0.08333	0.08333
Potri.005G019000.1__Potri.008G107800.1	0.99482	0.80208	579.0	576.0	0.13037	GF_000595	0.0541	3.3466	15.0	0.0162	Potri.005G019000.1	Potri.008G107800.1	0.08333	0.08333
Potri.005G015400.1__Potri.013G009900.1	0.99482	0.9166700000000001	579.0	576.0	0.07435	GF_000595	0.0221	0.2044	15.0	0.10800000000000001	Potri.005G015400.1	Potri.013G009900.1	0.08333	0.08333
Potri.005G015400.1__Potri.008G107800.1	0.99482	0.80208	579.0	576.0	0.13037	GF_000595	0.0541	3.3466	15.0	0.0162	Potri.005G015400.1	Potri.008G107800.1	0.08333	0.08333
Potri.005G019000.1__Potri.010G141800.1	0.33679000000000003	0.65641	579.0	195.0	0.52213	GF_000595	0.278	3.1936	16.0	0.0871	Potri.010G141800.1	Potri.005G019000.1	0.125	0.16667
Potri.005G019000.1__Potri.010G141800.1	0.33679000000000003	0.65641	579.0	195.0	0.52213	GF_000595	0.278	3.1936	16.0	0.0871	Potri.010G141800.1	Potri.005G019000.1	0.125	0.16667
Potri.005G015400.1__Potri.010G141800.1	0.33679000000000003	0.65641	579.0	195.0	0.52213	GF_000595	0.278	3.1935	16.0	0.0871	Potri.010G141800.1	Potri.005G015400.1	0.125	0.16667
Potri.010G141800.1__Potri.013G009900.1	0.33679000000000003	0.64615	579.0	195.0	0.51364	GF_000595	0.2811	4.0249	16.0	0.0698	Potri.010G141800.1	Potri.013G009900.1	0.125	0.16667
Potri.010G141800.1__Potri.013G009900.1	0.33679000000000003	0.64615	579.0	195.0	0.51364	GF_000595	0.2811	4.0249	16.0	0.0698	Potri.010G141800.1	Potri.013G009900.1	0.125	0.16667
Potri.010G141800.1__Potri.013G009900.1	0.33679000000000003	0.64615	579.0	195.0	0.51364	GF_000595	0.2811	4.0249	16.0	0.0698	Potri.010G141800.1	Potri.013G009900.1	0.125	0.16667
Potri.008G107800.1__Potri.010G141800.1	0.33679000000000003	0.6307699999999999	579.0	195.0	0.56966	GF_000595	0.2669	7.297000000000001	16.0	0.0366	Potri.010G141800.1	Potri.008G107800.1	0.125	0.0
Potri.002G121900.1__Potri.014G021400.1	0.93715	0.81197	1623.0	1521.0	0.35056	GF_000553	0.2421	0.5468	11.0	0.4427	Potri.002G121900.1	Potri.014G021400.1	0.5	0.5
Potri.002G121900.1__Potri.014G021400.1	0.93715	0.81197	1623.0	1521.0	0.35056	GF_000553	0.2421	0.5468	11.0	0.4427	Potri.002G121900.1	Potri.014G021400.1	0.5	0.5
Potri.005G118100.1__Potri.007G017400.1	0.93565	0.90575	2937.0	2748.0	0.12700999999999998	GF_000563	0.0306	0.2264	10.0	0.1353	Potri.005G118100.1	Potri.007G017400.1	1.0	1.0
Potri.005G118100.1__Potri.007G017400.1	0.93565	0.90575	2937.0	2748.0	0.12700999999999998	GF_000563	0.0306	0.2264	10.0	0.1353	Potri.005G118100.1	Potri.007G017400.1	1.0	1.0
Potri.002G075800.1__Potri.005G184500.1	0.83044	0.9229200000000001	2937.0	2439.0	0.11357	GF_000563	0.0443	0.3115	11.0	0.1423	Potri.002G075800.1	Potri.005G184500.1	1.0	1.0
Potri.005G065200.1__Potri.007G104000.1	0.8580200000000001	0.9166700000000001	2937.0	2520.0	0.11287	GF_000563	0.0345	0.2361	13.0	0.146	Potri.005G065200.1	Potri.007G104000.1	0.5	0.5
Potri.005G065200.1__Potri.007G104000.1	0.8580200000000001	0.9166700000000001	2937.0	2520.0	0.11287	GF_000563	0.0345	0.2361	13.0	0.146	Potri.005G065200.1	Potri.007G104000.1	0.5	0.5
Potri.002G075800.1__Potri.005G065200.1	0.82635	0.7025100000000001	2937.0	2427.0	0.49646	GF_000563	0.1323	1.8247	14.0	0.0725	Potri.002G075800.1	Potri.005G065200.1	0.16667	0.16667
Potri.002G075800.1__Potri.007G104000.1	0.82737	0.7024699999999999	2937.0	2430.0	0.53575	GF_000563	0.1083	1.2047	14.0	0.0899	Potri.002G075800.1	Potri.007G104000.1	0.16667	0.16667
Potri.002G075800.1__Potri.007G104000.1	0.82737	0.7024699999999999	2937.0	2430.0	0.53575	GF_000563	0.1083	1.2047	14.0	0.0899	Potri.002G075800.1	Potri.007G104000.1	0.16667	0.16667
Potri.005G065200.1__Potri.005G184500.1	0.8324799999999999	0.70798	2937.0	2445.0	0.46775	GF_000563	0.1188	1.6831	14.0	0.0706	Potri.005G184500.1	Potri.005G065200.1	0.16667	0.16667
Potri.005G065200.1__Potri.005G184500.1	0.8324799999999999	0.70798	2937.0	2445.0	0.46775	GF_000563	0.1188	1.6831	14.0	0.0706	Potri.005G184500.1	Potri.005G065200.1	0.16667	0.16667
Potri.005G184500.1__Potri.007G104000.1	0.8386100000000001	0.71011	2937.0	2463.0	0.5070399999999999	GF_000563	0.0981	0.9788	14.0	0.1002	Potri.005G184500.1	Potri.007G104000.1	0.16667	0.16667
Potri.005G184500.1__Potri.007G104000.1	0.8386100000000001	0.71011	2937.0	2463.0	0.5070399999999999	GF_000563	0.0981	0.9788	14.0	0.1002	Potri.005G184500.1	Potri.007G104000.1	0.16667	0.16667
Potri.013G098400.1__Potri.019G069400.1	0.29979	0.81507	1461.0	438.0	0.39916	GF_000540	0.1412	0.2881	11.0	0.49	Potri.013G098400.1	Potri.019G069400.1	0.5	0.5
Potri.002G184500.1__Potri.014G110100.1	0.25667	0.80533	1461.0	375.0	0.32577	GF_000540	0.2853	0.7313	12.0	0.3902	Potri.002G184500.1	Potri.014G110100.1	1.0	1.0
Potri.005G120500.1__Potri.007G022000.1	0.8932200000000001	0.92107	1461.0	1305.0	0.08836000000000001	GF_000540	0.0255	0.1964	13.0	0.1298	Potri.005G120500.1	Potri.007G022000.1	1.0	1.0
Potri.005G120500.1__Potri.007G022000.1	0.8932200000000001	0.92107	1461.0	1305.0	0.08836000000000001	GF_000540	0.0255	0.1964	13.0	0.1298	Potri.005G120500.1	Potri.007G022000.1	1.0	1.0
Potri.002G033500.1__Potri.005G229600.1	0.5667399999999999	0.8635299999999999	1461.0	828.0	0.20376	GF_000540	0.127	0.7169	14.0	0.1772	Potri.005G229600.1	Potri.002G033500.1	1.0	1.0
Potri.005G120500.1__Potri.005G229600.1	0.8624200000000001	0.70238	1461.0	1260.0	0.46041000000000004	GF_000540	0.149	5.2607	15.0	0.0283	Potri.005G120500.1	Potri.005G229600.1	0.25	0.0
Potri.005G120500.1__Potri.005G229600.1	0.8624200000000001	0.70238	1461.0	1260.0	0.46041000000000004	GF_000540	0.149	5.2607	15.0	0.0283	Potri.005G120500.1	Potri.005G229600.1	0.25	0.0
Potri.002G033500.1__Potri.005G120500.1	0.58111	0.6572399999999999	1461.0	849.0	0.65551	GF_000540	0.2295	5.8067	15.0	0.0395	Potri.005G120500.1	Potri.002G033500.1	0.25	0.0
Potri.002G033500.1__Potri.005G120500.1	0.58111	0.6572399999999999	1461.0	849.0	0.65551	GF_000540	0.2295	5.8067	15.0	0.0395	Potri.005G120500.1	Potri.002G033500.1	0.25	0.0
Potri.005G229600.1__Potri.007G022000.1	0.8624200000000001	0.70873	1461.0	1260.0	0.43125	GF_000540	0.1781	12.1282	15.0	0.0147	Potri.007G022000.1	Potri.005G229600.1	0.25	0.0
Potri.005G229600.1__Potri.007G022000.1	0.8624200000000001	0.70873	1461.0	1260.0	0.43125	GF_000540	0.1781	12.1282	15.0	0.0147	Potri.007G022000.1	Potri.005G229600.1	0.25	0.0
Potri.002G033500.1__Potri.007G022000.1	0.58111	0.6654899999999999	1461.0	849.0	0.62635	GF_000540	0.2061	9.1835	15.0	0.0224	Potri.007G022000.1	Potri.002G033500.1	0.25	0.0
Potri.006G272400.1__Potri.018G009100.1	0.52235	0.9322600000000001	1074.0	561.0	0.0357	GF_000539	0.0136	0.2884	10.0	0.0471	Potri.018G009100.1	Potri.006G272400.1	1.0	1.0
Potri.012G021800.1__Potri.015G004600.1	0.6983199999999999	0.81333	1074.0	750.0	0.26221	GF_000539	0.0955	0.5314	12.0	0.1797	Potri.015G004600.1	Potri.012G021800.1	1.0	1.0
Potri.005G024600.1__Potri.013G015500.1	0.8016800000000001	0.85482	1074.0	861.0	0.19218	GF_000539	0.0413	0.2627	13.0	0.1574	Potri.013G015500.1	Potri.005G024600.1	1.0	1.0
Potri.005G024600.1__Potri.013G015500.1	0.8016800000000001	0.85482	1074.0	861.0	0.19218	GF_000539	0.0413	0.2627	13.0	0.1574	Potri.013G015500.1	Potri.005G024600.1	1.0	1.0
Potri.002G205000.1__Potri.T134200.1	0.72905	0.97829	1074.0	783.0	0.029410000000000002	GF_000539	0.0	0.0078	14.0	0.001	Potri.T134200.1	Potri.002G205000.1	1.0	1.0
Potri.002G205000.1__Potri.T134200.1	0.72905	0.97829	1074.0	783.0	0.029410000000000002	GF_000539	0.0	0.0078	14.0	0.001	Potri.T134200.1	Potri.002G205000.1	1.0	1.0
Potri.014G129900.1__Potri.T134200.1	0.8212299999999999	0.9365100000000001	1074.0	882.0	0.06828	GF_000539	0.0174	0.1765	15.0	0.0986	Potri.014G129900.1	Potri.T134200.1	0.5	0.5
Potri.014G129900.1__Potri.T134200.1	0.8212299999999999	0.9365100000000001	1074.0	882.0	0.06828	GF_000539	0.0174	0.1765	15.0	0.0986	Potri.014G129900.1	Potri.T134200.1	0.5	0.5
Potri.002G205000.1__Potri.014G129900.1	0.72346	0.9189200000000001	1074.0	777.0	0.09661	GF_000539	0.0174	0.1889	15.0	0.0922	Potri.014G129900.1	Potri.002G205000.1	0.5	0.5
Potri.013G015500.1__Potri.014G129900.1	0.77654	0.71463	1074.0	834.0	0.44788	GF_000539	0.1278	1.212	16.0	0.1054	Potri.013G015500.1	Potri.014G129900.1	0.16667	0.16667
Potri.013G015500.1__Potri.014G129900.1	0.77654	0.71463	1074.0	834.0	0.44788	GF_000539	0.1278	1.212	16.0	0.1054	Potri.013G015500.1	Potri.014G129900.1	0.16667	0.16667
Potri.002G205000.1__Potri.013G015500.1	0.71508	0.75	1074.0	768.0	0.48715	GF_000539	0.1246	1.3086	16.0	0.0952	Potri.013G015500.1	Potri.002G205000.1	0.16667	0.16667
Potri.002G205000.1__Potri.013G015500.1	0.71508	0.75	1074.0	768.0	0.48715	GF_000539	0.1246	1.3086	16.0	0.0952	Potri.013G015500.1	Potri.002G205000.1	0.16667	0.16667
Potri.005G024600.1__Potri.014G129900.1	0.8072600000000001	0.7220300000000001	1074.0	867.0	0.36764	GF_000539	0.1449	1.2293	16.0	0.1179	Potri.005G024600.1	Potri.014G129900.1	0.16667	0.16667
Potri.005G024600.1__Potri.014G129900.1	0.8072600000000001	0.7220300000000001	1074.0	867.0	0.36764	GF_000539	0.1449	1.2293	16.0	0.1179	Potri.005G024600.1	Potri.014G129900.1	0.16667	0.16667
Potri.002G205000.1__Potri.005G024600.1	0.71508	0.74349	1074.0	768.0	0.40691	GF_000539	0.1412	1.2559	16.0	0.1125	Potri.005G024600.1	Potri.002G205000.1	0.16667	0.16667
Potri.002G205000.1__Potri.005G024600.1	0.71508	0.74349	1074.0	768.0	0.40691	GF_000539	0.1412	1.2559	16.0	0.1125	Potri.005G024600.1	Potri.002G205000.1	0.16667	0.16667
Potri.001G108900.1__Potri.003G122700.1	0.07496	0.87451	3402.0	255.0	0.35804	GF_000551	0.0	0.0	9.0	0.001	Potri.003G122700.1	Potri.001G108900.1	1.0	0.0
Potri.002G111200.1__Potri.005G153100.1	0.7239899999999999	0.8968700000000001	3402.0	2463.0	0.1361	GF_000551	0.006	6.0314	10.0	0.001	Potri.002G111200.1	Potri.005G153100.1	1.0	0.0
Potri.008G025800.1__Potri.010G234700.1	0.57584	0.89433	3402.0	1959.0	0.16249	GF_000551	0.006	6.0314	11.0	0.001	Potri.010G234700.1	Potri.008G025800.1	1.0	0.0
Potri.006G115800.1__Potri.010G234700.1	0.59524	0.67605	3402.0	2025.0	0.63495	GF_000551	0.0	0.0	14.0	0.1439	Potri.010G234700.1	Potri.006G115800.1	0.16667	0.0
Potri.006G115800.1__Potri.010G234700.1	0.59524	0.67605	3402.0	2025.0	0.63495	GF_000551	0.0	0.0	14.0	0.1439	Potri.010G234700.1	Potri.006G115800.1	0.16667	0.0
Potri.006G115800.1__Potri.008G025800.1	0.5617300000000001	0.68184	3402.0	1911.0	0.64686	GF_000551	0.006	6.0314	14.0	0.001	Potri.008G025800.1	Potri.006G115800.1	0.16667	0.0
Potri.006G115800.1__Potri.008G025800.1	0.5617300000000001	0.68184	3402.0	1911.0	0.64686	GF_000551	0.006	6.0314	14.0	0.001	Potri.008G025800.1	Potri.006G115800.1	0.16667	0.0
Potri.001G233700.1__Potri.009G026000.1	0.9354299999999999	0.9309700000000001	3345.0	3129.0	0.08584	GF_000567	0.0002	0.2461	10.0	0.001	Potri.001G233700.1	Potri.009G026000.1	0.5	0.5
Potri.006G210700.1__Potri.016G077800.1	0.9067299999999999	0.9086700000000001	3345.0	3033.0	0.10533	GF_000567	0.0004	0.3714	14.0	0.001	Potri.006G210700.1	Potri.016G077800.1	0.5	0.5
Potri.008G144700.1__Potri.010G097700.1	0.8403299999999999	0.88834	3645.0	3063.0	0.1651	GF_000546	0.0794	0.2412	9.0	0.32899999999999996	Potri.010G097700.1	Potri.008G144700.1	1.0	1.0
Potri.001G310700.1__Potri.017G050600.1	0.54733	0.7188	3645.0	1995.0	0.57438	GF_000546	0.2929	0.6421	11.0	0.4561	Potri.017G050600.1	Potri.001G310700.1	0.5	0.5
Potri.001G161000.1__Potri.003G074000.1	0.8642	0.9152399999999999	3645.0	3150.0	0.10910999999999998	GF_000546	0.0776	0.1891	13.0	0.4103	Potri.001G161000.1	Potri.003G074000.1	1.0	1.0
Potri.001G398500.1__Potri.011G116900.1	0.86255	0.9049	3645.0	3144.0	0.12487000000000001	GF_000546	0.069	0.2413	14.0	0.2858	Potri.011G116900.1	Potri.001G398500.1	1.0	1.0
Potri.017G018500.1__Potri.T078200.1	0.90717	0.9875	3264.0	2961.0	0.0232	GF_000519	0.0	0.0	15.0		Potri.T078200.1	Potri.017G018500.1	1.0	0.0
Potri.007G133400.1__Potri.017G018500.1	0.90533	0.9062600000000001	3264.0	2955.0	0.16919	GF_000519	0.0	0.0	16.0		Potri.007G133400.1	Potri.017G018500.1	0.5	0.0
Potri.007G133400.1__Potri.017G021100.1	0.08456	0.77174	3264.0	276.0	0.48806000000000005	GF_000519	0.0	0.0	18.0		Potri.017G021100.1	Potri.007G133400.1	0.04	0.0
Potri.003G066400.1__Potri.006G141400.1	0.95596	0.64235	1635.0	1563.0	0.6613	GF_000554	0.2381	31.8549	14.0	0.0075	Potri.006G141400.1	Potri.003G066400.1	0.25	0.0
Potri.003G066400.1__Potri.006G141400.1	0.95596	0.64235	1635.0	1563.0	0.6613	GF_000554	0.2381	31.8549	14.0	0.0075	Potri.006G141400.1	Potri.003G066400.1	0.25	0.0
Potri.001G167800.1__Potri.006G141400.1	0.93578	0.60523	1635.0	1530.0	0.8978799999999999	GF_000554	0.2636	24.9078	16.0	0.0106	Potri.001G167800.1	Potri.006G141400.1	0.05	0.0
Potri.001G167800.1__Potri.006G141400.1	0.93578	0.60523	1635.0	1530.0	0.8978799999999999	GF_000554	0.2636	24.9078	16.0	0.0106	Potri.001G167800.1	Potri.006G141400.1	0.05	0.0
Potri.001G167800.1__Potri.003G066400.1	0.93761	0.73125	1635.0	1533.0	0.49596	GF_000554	0.1433	1.0744	16.0	0.1334	Potri.001G167800.1	Potri.003G066400.1	0.05	0.125
Potri.001G075500.1__Potri.003G155500.1	0.16552999999999998	0.75207	2193.0	363.0	0.40317	GF_000579	0.0796	0.0008	9.0	99.0	Potri.001G075500.1	Potri.003G155500.1	1.0	0.0
Potri.012G129200.1__Potri.015G130900.1	0.68399	0.8966700000000001	2193.0	1500.0	0.15105	GF_000579	0.0799	0.0755	14.0	1.0585	Potri.012G129200.1	Potri.015G130900.1	1.0	1.0
Potri.012G129200.1__Potri.015G130900.1	0.68399	0.8966700000000001	2193.0	1500.0	0.15105	GF_000579	0.0799	0.0755	14.0	1.0585	Potri.012G129200.1	Potri.015G130900.1	1.0	1.0
Potri.001G027700.1__Potri.003G196100.1	0.6267	0.8844799999999999	1326.0	831.0	0.19175	GF_000531	0.0691	0.2702	10.0	0.2559	Potri.003G196100.1	Potri.001G027700.1	1.0	1.0
Potri.001G276200.1__Potri.009G070800.1	0.79638	0.8958299999999999	1326.0	1056.0	0.13268	GF_000531	0.0877	0.2666	11.0	0.3291	Potri.009G070800.1	Potri.001G276200.1	1.0	1.0
Potri.001G276200.1__Potri.009G070800.1	0.79638	0.8958299999999999	1326.0	1056.0	0.13268	GF_000531	0.0877	0.2666	11.0	0.3291	Potri.009G070800.1	Potri.001G276200.1	1.0	1.0
Potri.003G196100.1__Potri.009G070800.1	0.63348	0.56429	1326.0	840.0	1.03491	GF_000531	0.3626	3.5737	12.0	0.1015	Potri.003G196100.1	Potri.009G070800.1	0.25	0.25
Potri.003G196100.1__Potri.009G070800.1	0.63348	0.56429	1326.0	840.0	1.03491	GF_000531	0.3626	3.5737	12.0	0.1015	Potri.003G196100.1	Potri.009G070800.1	0.25	0.25
Potri.001G276200.1__Potri.003G196100.1	0.63575	0.57533	1326.0	843.0	1.06421	GF_000531	0.331	3.2523	12.0	0.1018	Potri.003G196100.1	Potri.001G276200.1	0.25	0.25
Potri.001G276200.1__Potri.003G196100.1	0.63575	0.57533	1326.0	843.0	1.06421	GF_000531	0.331	3.2523	12.0	0.1018	Potri.003G196100.1	Potri.001G276200.1	0.25	0.25
Potri.001G027700.1__Potri.009G070800.1	0.61538	0.57598	1326.0	816.0	0.99724	GF_000531	0.3758	4.0773	12.0	0.0922	Potri.001G027700.1	Potri.009G070800.1	0.25	0.25
Potri.001G027700.1__Potri.009G070800.1	0.61538	0.57598	1326.0	816.0	0.99724	GF_000531	0.3758	4.0773	12.0	0.0922	Potri.001G027700.1	Potri.009G070800.1	0.25	0.25
Potri.001G027700.1__Potri.001G276200.1	0.61765	0.5885199999999999	1326.0	819.0	1.02654	GF_000531	0.3476	3.9002	12.0	0.0891	Potri.001G027700.1	Potri.001G276200.1	0.25	0.25
Potri.001G027700.1__Potri.001G276200.1	0.61765	0.5885199999999999	1326.0	819.0	1.02654	GF_000531	0.3476	3.9002	12.0	0.0891	Potri.001G027700.1	Potri.001G276200.1	0.25	0.25
Potri.005G118200.1__Potri.007G017500.1	0.73756	0.92945	1326.0	978.0	0.09193	GF_000531	0.0268	0.2268	13.0	0.1182	Potri.007G017500.1	Potri.005G118200.1	1.0	1.0
Potri.005G118200.1__Potri.007G017500.1	0.73756	0.92945	1326.0	978.0	0.09193	GF_000531	0.0268	0.2268	13.0	0.1182	Potri.007G017500.1	Potri.005G118200.1	1.0	1.0
Potri.002G028500.1__Potri.005G234200.1	0.70814	0.9265200000000001	1326.0	939.0	0.1249	GF_000531	0.0494	0.2041	14.0	0.2422	Potri.002G028500.1	Potri.005G234200.1	1.0	1.0
Potri.004G160600.1__Potri.009G121600.1	0.40724	0.8814799999999999	1326.0	540.0	0.22939	GF_000531	0.0832	0.3383	15.0	0.24600000000000002	Potri.009G121600.1	Potri.004G160600.1	1.0	1.0
Potri.002G028500.1__Potri.009G121600.1	0.4095	0.67772	1326.0	543.0	0.7800600000000001	GF_000531	0.2464	1.492	16.0	0.1652	Potri.002G028500.1	Potri.009G121600.1	0.25	0.25
Potri.002G028500.1__Potri.009G121600.1	0.4095	0.67772	1326.0	543.0	0.7800600000000001	GF_000531	0.2464	1.492	16.0	0.1652	Potri.002G028500.1	Potri.009G121600.1	0.25	0.25
Potri.002G028500.1__Potri.009G121600.1	0.4095	0.67772	1326.0	543.0	0.7800600000000001	GF_000531	0.2464	1.492	16.0	0.1652	Potri.002G028500.1	Potri.009G121600.1	0.25	0.25
Potri.002G028500.1__Potri.004G160600.1	0.45701	0.64686	1326.0	606.0	0.82449	GF_000531	0.2556	1.1107	16.0	0.2301	Potri.002G028500.1	Potri.004G160600.1	0.25	0.25
Potri.002G028500.1__Potri.004G160600.1	0.45701	0.64686	1326.0	606.0	0.82449	GF_000531	0.2556	1.1107	16.0	0.2301	Potri.002G028500.1	Potri.004G160600.1	0.25	0.25
Potri.002G028500.1__Potri.004G160600.1	0.45701	0.64686	1326.0	606.0	0.82449	GF_000531	0.2556	1.1107	16.0	0.2301	Potri.002G028500.1	Potri.004G160600.1	0.25	0.25
Potri.005G234200.1__Potri.009G121600.1	0.41176	0.65385	1326.0	546.0	0.81384	GF_000531	0.2591	1.8591	16.0	0.1394	Potri.005G234200.1	Potri.009G121600.1	0.25	0.25
Potri.005G234200.1__Potri.009G121600.1	0.41176	0.65385	1326.0	546.0	0.81384	GF_000531	0.2591	1.8591	16.0	0.1394	Potri.005G234200.1	Potri.009G121600.1	0.25	0.25
Potri.005G234200.1__Potri.009G121600.1	0.41176	0.65385	1326.0	546.0	0.81384	GF_000531	0.2591	1.8591	16.0	0.1394	Potri.005G234200.1	Potri.009G121600.1	0.25	0.25
Potri.004G160600.1__Potri.005G234200.1	0.45701	0.6369600000000001	1326.0	606.0	0.8582700000000001	GF_000531	0.2737	1.2061	16.0	0.2269	Potri.005G234200.1	Potri.004G160600.1	0.25	0.25
Potri.004G160600.1__Potri.005G234200.1	0.45701	0.6369600000000001	1326.0	606.0	0.8582700000000001	GF_000531	0.2737	1.2061	16.0	0.2269	Potri.005G234200.1	Potri.004G160600.1	0.25	0.25
Potri.004G160600.1__Potri.005G234200.1	0.45701	0.6369600000000001	1326.0	606.0	0.8582700000000001	GF_000531	0.2737	1.2061	16.0	0.2269	Potri.005G234200.1	Potri.004G160600.1	0.25	0.25
Potri.007G017500.1__Potri.009G121600.1	0.40271	0.65356	1326.0	534.0	0.74822	GF_000531	0.2358	2.2314	17.0	0.1057	Potri.007G017500.1	Potri.009G121600.1	0.125	0.125
Potri.007G017500.1__Potri.009G121600.1	0.40271	0.65356	1326.0	534.0	0.74822	GF_000531	0.2358	2.2314	17.0	0.1057	Potri.007G017500.1	Potri.009G121600.1	0.125	0.125
Potri.004G160600.1__Potri.007G017500.1	0.45475	0.6301800000000001	1326.0	603.0	0.79265	GF_000531	0.2496	2.1308	17.0	0.1171	Potri.007G017500.1	Potri.004G160600.1	0.125	0.125
Potri.004G160600.1__Potri.007G017500.1	0.45475	0.6301800000000001	1326.0	603.0	0.79265	GF_000531	0.2496	2.1308	17.0	0.1171	Potri.007G017500.1	Potri.004G160600.1	0.125	0.125
Potri.002G028500.1__Potri.005G118200.1	0.6877800000000001	0.63158	1326.0	912.0	0.62639	GF_000531	0.1941	3.3001	17.0	0.0588	Potri.005G118200.1	Potri.002G028500.1	0.125	0.125
Potri.002G028500.1__Potri.005G118200.1	0.6877800000000001	0.63158	1326.0	912.0	0.62639	GF_000531	0.1941	3.3001	17.0	0.0588	Potri.005G118200.1	Potri.002G028500.1	0.125	0.125
Potri.005G118200.1__Potri.005G234200.1	0.68552	0.6248600000000001	1326.0	909.0	0.66017	GF_000531	0.2114	4.4597	17.0	0.0474	Potri.005G118200.1	Potri.005G234200.1	0.125	0.125
Potri.005G118200.1__Potri.009G121600.1	0.40724	0.66296	1326.0	540.0	0.7673300000000001	GF_000531	0.2347	1.8556	17.0	0.1265	Potri.005G118200.1	Potri.009G121600.1	0.125	0.125
Potri.005G118200.1__Potri.009G121600.1	0.40724	0.66296	1326.0	540.0	0.7673300000000001	GF_000531	0.2347	1.8556	17.0	0.1265	Potri.005G118200.1	Potri.009G121600.1	0.125	0.125
Potri.004G160600.1__Potri.005G118200.1	0.45928	0.6289	1326.0	609.0	0.81176	GF_000531	0.2567	1.993	17.0	0.1288	Potri.005G118200.1	Potri.004G160600.1	0.125	0.125
Potri.004G203700.1__Potri.009G164600.1	0.7975300000000001	0.63983	1215.0	969.0	0.77075	GF_000566	0.3835	2.9514	10.0	0.1299	Potri.004G203700.1	Potri.009G164600.1	0.5	0.5
Potri.008G021000.1__Potri.010G237700.1	0.75556	0.77451	1215.0	918.0	0.44251	GF_000566	0.1846	0.3998	15.0	0.4616	Potri.010G237700.1	Potri.008G021000.1	0.125	0.125
Potri.004G203700.1__Potri.010G237700.1	0.74568	0.6048600000000001	1215.0	906.0	0.8834200000000001	GF_000566	0.3637	2.2615	16.0	0.1608	Potri.004G203700.1	Potri.010G237700.1	0.055560000000000005	0.1
Potri.004G203700.1__Potri.010G237700.1	0.74568	0.6048600000000001	1215.0	906.0	0.8834200000000001	GF_000566	0.3637	2.2615	16.0	0.1608	Potri.004G203700.1	Potri.010G237700.1	0.055560000000000005	0.1
Potri.004G203700.1__Potri.008G021000.1	0.83704	0.5919399999999999	1215.0	1017.0	0.9378299999999999	GF_000566	0.3637	3.4296	16.0	0.106	Potri.004G203700.1	Potri.008G021000.1	0.055560000000000005	0.1
Potri.004G203700.1__Potri.008G021000.1	0.83704	0.5919399999999999	1215.0	1017.0	0.9378299999999999	GF_000566	0.3637	3.4296	16.0	0.106	Potri.004G203700.1	Potri.008G021000.1	0.055560000000000005	0.1
Potri.009G164600.1__Potri.010G237700.1	0.7086399999999999	0.5969800000000001	1215.0	861.0	1.04617	GF_000566	0.4057	10.4832	16.0	0.0387	Potri.009G164600.1	Potri.010G237700.1	0.055560000000000005	0.0
